Alpha,Drag,Lift,Cd,Cl,L/D
-4,3.003872249,-43.2395153,0.011298359,-0.162635262,-14.39459852
-3,2.647269591,-18.76406029,0.009969119,-0.070661916,-7.088191308
-2,2.313645153,8.125380125,0.008723916,0.03063786,3.511652438
-1,2.040532581,31.53081156,0.007702917,0.119027375,15.45309903
0,2.520967076,51.78152014,0.009512512,0.195390216,20.63211605
1,2.370109302,81.78588237,0.008906292,0.307331368,34.52421958
2,3.439153049,110.5516446,0.01290626,0.414871996,32.15086114
3,4.217582651,135.9311085,0.015807128,0.509457819,32.23336472
4,3.827553392,158.7828634,0.014326323,0.594315585,41.49851441
5,4.747609284,178.9624848,0.017751456,0.669146204,37.70133795
6,5.965726908,198.388816,0.022284121,0.74105309,33.25680587
7,7.903603945,225.8888146,0.029484642,0.842685287,28.58171634
8,9.57890697,242.6824802,0.035706071,0.904616572,25.33569994
9,12.64065419,262.0849451,0.047083737,0.976210451,20.73356127
10,14.84188535,251.2856254,0.055331103,0.936802423,16.93214015
11,18.34415847,237.6306206,0.068483567,0.887141109,12.96531079
12,32.57350959,203.3295719,0.121906985,0.76096368,6.247267011
13,42.95084724,192.1765769,0.16101388,0.720430404,4.473493139
14,50.09638845,204.5988398,0.187695524,0.766568582,4.082947367
